lat,long,height,day,month,year,hour,minute,second,millis,pdop,speed_kmh,ori_x,ori_y,ori_z,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,lin_x,lin_y,lin_z,grav_x,grav_y,grav_z,temp,cal_sys,cal_gyro,cal_accel,cal_mag,0_vesc_id,0_avgMotorCurrent,0_avgInputCurrent,0_dutyCycleNow,0_rpm,0_inpVoltage,0_ampHours,0_ampHoursCharged,0_wattHours,0_wattHoursCharged,0_tachometer,0_tachometerAbs,0_tempMosfet,0_tempMotor,0_pidPos,0_error,1_vesc_id,1_avgMotorCurrent,1_avgInputCurrent,1_dutyCycleNow,1_rpm,1_inpVoltage,1_ampHours,1_ampHoursCharged,1_wattHours,1_wattHoursCharged,1_tachometer,1_tachometerAbs,1_tempMosfet,1_tempMotor,1_pidPos,1_error
47.987118,-1.554730,45.50,10,6,2025,17,19,53,600,1.3,0.07,359.37,-3.00,-11.75,-0.06,-0.15,0.04,-0.56,1.83,9.59,-7.06,-1.00,1.25,-0.05,-0.16,0.00,-0.51,1.99,9.58,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.987118,-1.554730,46.50,10,6,2025,17,19,53,700,1.3,0.17,359.50,-2.87,-11.75,-0.04,-0.06,0.01,-0.34,1.86,9.44,-6.25,-0.56,-0.69,0.15,-0.12,-0.14,-0.49,1.99,9.58,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.987118,-1.554737,46.50,10,6,2025,17,19,54,100,1.3,0.06,359.62,-2.94,-11.75,0.00,-0.06,0.00,-0.49,2.00,9.46,-7.69,-1.37,-0.69,0.01,0.00,-0.12,-0.50,2.00,9.58,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.987118,-1.554740,49.70,10,6,2025,17,19,54,600,1.3,0.06,359.62,-3.06,-11.81,0.01,0.03,0.00,-0.53,2.03,9.48,-6.25,-1.00,0.50,-0.01,0.02,-0.09,-0.52,2.00,9.58,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.987125,-1.554745,47.70,10,6,2025,17,19,55,500,1.3,0.06,359.62,-2.87,-11.81,-0.02,-0.03,0.00,-0.44,1.94,9.58,-6.69,-1.00,-1.87,0.05,-0.06,0.00,-0.49,2.00,9.58,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.987125,-1.554750,45.70,10,6,2025,17,19,55,600,1.3,0.06,359.81,-3.00,-11.88,-0.01,-0.02,0.01,-0.57,2.03,9.42,-7.37,-1.25,-0.69,-0.04,0.00,-0.15,-0.52,2.02,9.58,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.987110,-1.554723,45.70,10,6,2025,17,19,56,500,1.3,0.09,359.87,-3.00,-11.81,-0.01,0.01,-0.01,-0.46,2.06,9.51,-5.87,-2.00,-0.25,0.03,0.04,0.00,-0.51,2.01,9.58,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.987110,-1.554718,50.40,10,6,2025,17,19,56,600,1.3,0.09,359.94,-2.87,-11.88,0.02,-0.01,-0.01,-0.48,2.08,9.42,-7.00,-0.88,-1.06,0.01,0.06,-0.15,-0.49,2.01,9.58,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.987110,-1.554702,44.10,10,6,2025,17,19,57,500,2.1,0.09,359.94,-2.94,-12.06,0.01,-0.01,-0.01,-0.62,2.02,9.41,-6.69,-0.50,-1.50,-0.11,-0.02,-0.15,-0.50,2.05,9.57,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.987118,-1.554705,41.50,10,6,2025,17,19,57,600,1.3,0.30,359.94,-3.06,-12.13,0.01,-0.03,0.01,-0.46,2.15,9.53,-5.87,-0.19,-0.25,0.00,0.09,-0.08,-0.52,2.06,9.57,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
